ROUNDEL,TRANSCRIPTION,TRANSLATION,NUMBER_OF_LINES,REND
CRN075,[#1] Gefat,Gefat,1,grey-double
CRN076,[#1] Spezwe,Spezwe,1,grey-double
CRN077,[#1] Sigewolf,Sigewolf,1,grey-double
CRN078,[#1] Reidkan,Reidkan,1,grey-double
CRN079,[#1] Offe,Offe,1,grey-double
CRN080,[#1] Est [#2] Sexia,Essex,2,"[1] grey-double, [2] rubricated"
CRN081,[#1] Beldec,Beldec,1,grey-double
CRN082,[#1] Brand,Brand,1,grey-double
CRN083,[#1] Beonok,Benok,1,grey-double
CRN084,[#1] Alek,Alek,1,grey-double
CRN085,[#1] Angenwyt,Angenwyt,1,grey-double
CRN086,[#1] Ingwyn,Ingwyn,1,grey-double
CRN087,[#1] Esee,Esee,1,grey-double
CRN088,[#1] Gorpe,Gorpe,1,grey-double
CRN089,[#1] West [#2] Sexia,Wessex,2,"[1] grey-double, [2] rubricated"
CRN090,[#1] South [#2] Sexia,Sussex,2,"[1] grey-double, [2] rubricated"
CRN091,[#1] Jenan [#2] vel Janan,Jenan or Janan,2,brown-double
CRN092,[#1] Cethnius,Cethis,1,brown-double
CRN093,[#1] Ciprius,Cyprus,1,brown-double
CRN094,[#1] Cretus,Cretus,1,brown-double
CRN095,[#1] Celinus,Celius,1,brown-double
CRN096,[#1] Saturnus,Saturn,1,brown-double
CRN097,[#1] Jupiter,Jupiter,1,brown-double
CRN098,[#1] Dardanus,Dardanus,1,brown-double
CRN099,[#1] Erictonius,Erictonius,1,brown-double
CRN100,[#1] Troius,Trojus,1,brown-double
CRN101,[#1] Ilius,Ilus,1,brown-double
CRN102,[#1] Lamedon,Lamedon,1,brown-double
CRN103,[#1] Priamus,Priam,1,brown-double
CRN104,[#1] Hector,Hector,1,brown-double
CRN105,[#1] Assaracus,Assaracus,1,brown-double
CRN106,[#1] Capis,Capis,1,brown-double
CRN107,[#1] Anchises,Anchises,1,brown-double
CRN108,[#1] Eneas,Aeneas,1,brown-double
CRN109,[#1] Silvius [#2] posthumus,Silvius Posthumous,2,brown-double
CRN110,[#1] Latinus,Latinus,1,brown-double
CRN111,[#1] Alban,Alban,1,brown-double
CRN112,[#1] Et sic [#2] usque ad [#3] Remum et [#4] Romulum,And thus up to Remus and Romulus,4,brown-double
CRN113,[#1] Ascanius,Ascanius,1,brown-double
CRN114,[#1] Silvius,Silvius,1,brown-double
CRN115,[#1] Brutus,Brutus,1,"[1] brown-double, [2] decorated, [3] blue"
CRN116,[#1] Albanac- [#2] tus,Albanactus,2,N/A
CRN117,[#1] Kambri- [#2] us,Cambrius,2,brown-double
CRN118,[#1] Gormoni- [#2] aun,Gormoniaun,2,brown-double
CRN119,[#1] Dunwal- [#2] heon,Dunwalheon,2,brown-double
CRN120,[#1] Morganus,Morgan,1,brown-double
CRN121,[#1] Belyma- [#2] ure,Belymaure,2,brown-double
CRN122,[#1] Lud,Lud,1,brown-double
CRN123,[#1] Aveleth,Aveleth,1,brown-double
CRN124,[#1] Avelath,Avelath,1,brown-double
CRN125,[#1] Eudolen,Eudolen,1,brown-double
CRN126,[#1] Eudos,Eudos,1,brown-double
CRN127,[#1] Cunic,Cunic,1,brown-double
CRN128,[#1] Gudeyrn,Gudeyrn,1,brown-double
CRN129,[#1] Rydern,Rydern,1,brown-double
CRN130,[#1] Grade,Grade,1,brown-double
CRN131,[#1] Urban,Urban,1,brown-double
CRN132,[#1] Tyntyll,Tyntyll,1,brown-double
CRN133,[#1] Dehewynt,Dehewynt,1,brown-double
CRN134,[#1] Tecuan,Tecuan,1,brown-double
CRN135,[#1] Choyl [#2] Godabanc,Choyn Godabanc,2,brown-double
CRN136,[#1] Kenen,Kenen,1,brown-double
CRN137,[#1] Padern [#2] paysruth,Padern paysruth,2,brown-double
CRN138,[#1] Gedeyn,Gedeyn,1,brown-double
CRN139,[#1] Cunnedar- [#2] ledic,Cunn edarledic,2,brown-double
CRN140,[#1] Eynann [#2] Yrth,Eynann Yrth,2,brown-double
CRN141,[#1] Kadwal- [#2] lauhyr,Kadwallauhyr,2,brown-double
CRN142,[#1] Maylgo,Malgo,1,brown-double
CRN143,[#1] Maylgo [#2] Magnus,Malgo the Great,2,brown-double
CRN145,[#1] Run,Run,1,brown-double
CRN146,[#1] Bely,Bely,1,brown-double
CRN148,[#1] XL [#2] Kadwanus [#3] 40 annorum,XL Kadwanus 40 years,3,brown-double
CRN149,[#1] Kadwal- [#2] lo,Kadwallo,2,brown-double
CRN150,[#1] Kadwala- [#2] drus,Kadwaladrus,2,green-double
CRN151,[#1] Inorus,Inorus,1,brown-double
CRN152,[#1] Ym,Ym,1,N/A
CRN153,[#1] Idwall [#2] Iurth,Idwall Iurth,2,brown-double
CRN154,[#1] Rodri [#2] maliti- [#3] nant,Rhodri Molwynog,3,brown-double
CRN155,[#1] Kanaan [#2] dyndey- [#3] thos,Kanaan dyndeythos,3,brown-double
CRN156,[#1] Dechild,Dechild,1,brown-double
CRN157,[#1] Mernembreth,Mernem breth,1,brown-double
CRN158,[#1] Bodri- [#2] vaur,Bodrivaur,2,brown-double
CRN159,[#1] Anarand,Anarand,1,brown-double
CRN160,[#1] Idwall [#2] voyll,Idwal voyll,2,brown-double
CRN161,[#1] Menrit,Menrit,1,brown-double
CRN162,[#1] Idwall,Idwal,1,brown-double
CRN164,[#1] Kanaan,Kanaan,1,brown-double
CRN165,[#1] Griffinus [#2] decollatus [#3] a suis,Gruffinus was beheaded by his own people,3,brown-double
CRN166,[#1] Yerwede,Yerwede,1,N/A
CRN167,[#1] Lewelinus,Llewelyn,1,brown-double
CRN168,[#1] Gruffrius,Gruffrius,1,brown-double
CRN169,[#1] Oweyn- [#2] goth,Oweyngoth,2,brown-double
CRN170,[#1] Lewili- [#2] nus,Llewelyn,2,brown-double
CRN171,[#1] David,David,1,brown-double
CRN172,[#1] Rodri,Rodri,1,brown-double
CRN173,[#1] Radell,Radell,1,brown-double
CRN174,[#1] Howellda,Howellda,1,N/A
CRN175,[#1] Owynus,Owen,1,brown-double
CRN176,[#1] Eynann,Eynann Yrth,1,brown-double
CRN177,[#1] Kadell,Kadell,1,brown-double
CRN178,[#1] Resus,Resus,1,brown-double
CRN179,[#1] Gruffinus,Gruffninus,1,brown-double
CRN180,[#1] Resus [#2] maure,Resus the Moor,2,brown-double
CRN182,[#1] Mereduth,Mereduth,1,brown-double
CRN183,[#1] Idem [#2] Mereduth,The same Mereduth,2,brown-double
CRN181,[#1] Resus,Resus,1,brown-double
CRN184,[#1] Resus,Resus,1,brown-double
CRN185,[#1] X [#2] Locrinus [#3] 10,X Locrinus 10,3,brown-double
CRN186,[#1] XL [#2] Maddan [#3] 40,XL Maddan 40,3,brown-double
CRN187,[#1] XX [#2] Mempricius [#3] 20,XX Mempricius 20,3,brown-double
CRN188,[#1] LX [#2] Ebrancus [#3] 60,LX Ebrancus 60,3,brown-double
CRN189,[#1] XII [#2] Brutus [#3] viridescu- [#4] tum 12,XII Brutus Greenshield 12,4,brown-double
CRN190,[#1] XXV [#2] Leyl [#3] 25,XXV Leil 25,3,brown-double
CRN191,[#1] XXXIX [#2] Runhyrbras [#3] 39,XXXIX Rud Hud Hudibras 39,3,brown-double
CRN192,[#1] XXVI [#2] Bladuth [#3] 26,XXVI Bladud 26,3,brown-double
CRN193,[#1] LX [#2] Leyr [#3] 60,LX Lear 60,3,brown-double
CRN194,[#1] Gnarilla [#2] 3,Gonarilla 3,2,brown-double
CRN195,[#1] Morganus [#2] 2,Morgan 2,2,green-double
CRN196,[#1] Cordella [#2] 5,Cordella 5,2,brown-double
CRN197,[#1] III [#2] Regan [#3] 3,III Regan 3,3,brown-double
CRN198,[#1] XXXV [#2] Cuneda- [#3] gius [#4] 35,XXXV Cunedag 35,4,brown-double
CRN199,[#1] XIX [#2] Rutlan [#3] vel Rivallo [#4] 19,XIX Rutlan or Riwallo 19,4,brown-double
CRN200,[#1] VII [#2] Gurgustus [#3] 7,VII Gurgustius 7,3,brown-double
CRN201,[#1] XV [#2] Sisillius [#3] 15,XV Sisillius 15,3,brown-double
CRN202,[#1] Yago,Iago,1,brown-double
CRN203,[#1] IX [#2] Kymarcus [#3] 9,IX Kimarcus 9,3,brown-double
CRN204,[#1] Gorbodu- [#2] go,Gorboduc,2,brown-double
CRN205,[#1] Porrex,Porrex,1,brown-double
CRN206,[#1] XL [#2] Dunwallo [#3] vel Mumul- [#4] tius [#5] 40,XL Dunwallo or Mumultius 40,5,brown-double
CRN207,[#1] Brenius [#2] 5,Brennius 5,2,brown-double
CRN208,[#1] XXIIII [#2] Belinus [#3] 24,XXIIII Belinus 24,3,brown-double
CRN209,[#1] Gurgwy- [#2] nt bartrut,Gurgiunt Barbtruc,2,brown-double
CRN210,[#1] Guthelinus,Guithelin,1,brown-double
CRN211,[#1] XV [#2] Sisillius [#3] 15,XV Sisillius 15,3,brown-double
CRN211,[#1] XV [#2] Sisillius [#3] 15,XV Sisillius 15,3,brown-double
CRN212,[#1] XI [#2] Kymarus [#3] 11,XI Kinarius 11,3,brown-double
CRN213,[#1] Danius [#2] 15,Danius 15,2,brown-double
CRN214,[#1] X [#2] Morwidus [#3] 10,X Morvidus 10,3,brown-double
CRN215,[#1] VII [#2] Gorbonia- [#3] nus [#4] 7,VII Gorbonianus 7,4,brown-double
CRN216,[#1] X [#2] Archigal- [#3] lo [#4] 10,X Arthgallo 10,4,brown-double
CRN217,[#1] Elidurus [#2] pius,Elidur the pious,2,brown-double
CRN218,[#1] VII [#2] Peredurus [#3] 7,VII Peredur 7,3,brown-double
CRN219,[#1] VII [#2] Vigenius [#3] 7,VII Vigenius 7,3,brown-double
CRN220,[#1] XI [#2] Regyn [#3] 11,XI Regyn 11,3,brown-double
CRN221,[#1] XXI [#2] Morganus [#3] 21,XXI Morgan 21,3,brown-double
CRN222,[#1] VI [#2] Eynaun [#3] 6,VI Ennianus 6,3,brown-double
CRN223,[#1] VII [#2] Idwall [#3]  7,VII Idwal 7,3,brown-double
CRN224,[#1] IX [#2] Rim [#3] 9,IX Rhun 9,3,brown-double
CRN225,[#1] III [#2] Geroncius [#3] 3,III Geraint 3,3,brown-double
CRN226,[#1] VIII [#2] Catell [#3] 8,VIII Kadell 8,3,brown-double
CRN227,[#1] XI [#2] Choyll [#3] 11,XI Coel 11,3,brown-double
CRN228,[#1] II [#2] Porrex [#3] 2,II Porrex 2,3,brown-double
CRN229,[#1] XXI [#2] Cheryn [#3] 21,XXI Cherin 21,3,brown-double
CRN230,[#1] Fulgentius [#2] 11,Fulgenius 11,2,brown-double
CRN231,[#1] Androgius [#2] 19,Andragius 19,2,brown-double
CRN232,[#1] VI [#2] Eldadus [#3] 6,VI Edadus 6,3,brown-double
CRN233,[#1] L [#2] Vrianus [#3] 50,L Urianus 50,3,brown-double
CRN234,[#1] XL [#2] Eliud [#3] 40,XL Eliud 40,3,brown-double
CRN235,[#1] XII [#2] Cledancus [#3] 12,XII Cledauc 12,3,brown-double
CRN236,[#1] X [#2] Clotenus [#3] 10,X Cloten 10,3,brown-double
CRN237,[#1] VII [#2] Gurguntius [#3] 7,VII Gurguint 7,3,brown-double
CRN238,[#1] V [#2] Merianus [#3] 5,V Merianus 5,3,brown-double
CRN239,[#1] Blethinus [#2] 1,Bledud 1,2,brown-double
CRN240,[#1] XI [#2] Caap [#3] 11,XI Cap 11,3,brown-double
CRN241,[#1] XIX [#2] Cenus [#3] 19,XIX Oenus 19,3,brown-double
CRN242,[#1] XIII [#2] Sisillius [#3] 13,XIII Sisillius 13,3,brown-double
CRN243,[#1] Archina- [#2] yll [#3] 2,Arthmail 2,3,brown-double
CRN244,[#1] XV [#2] Bledga- [#3] bred [#4] 15,XV Bledgabred 15,4,brown-double
CRN245,[#1] XXV [#2] Eldol [#3] 25,XXV Eldol 25,3,brown-double
CRN246,[#1] VII [#2] Rodyon [#3] 7,VII Redion 7,3,brown-double
CRN247,[#1] Rydergius,Redech,1,brown-double
CRN248,[#1] Sawl 29 [#2] Pemsell 14,Samuil 29 Penissel 14,2,brown-double
CRN249,[#1] XII [#2] Pyr [#3] 12,XII Pir 12,3,brown-double
CRN250,[#1] VIII [#2] Capoyr [#3] 8,VIII Capoir 8,3,brown-double
CRN251,[#1] XXVIII [#2] Diwellius [#3] 28,XXVIII Cligueillius 28,3,brown-double
CRN252,[#1] Ely,Heli,1,brown-double
CRN253,[#1] Lud [#2] 21,Lud 21,2,brown-double
CRN254,[#1] Nennius,Nennius,1,brown-double
CRN255,[#1] XII [#2] Cassibeli- [#3] anus [#4] 12,XII Cassibelaunus 12,4,brown-double
CRN256,[#1] XXIII [#2] Tenancius [#3] 23,XXIII Tenvantius 23,3,brown-double
CRN257,[#1] X [#2] Kymbeli- [#3] nus [#4] 10,X Cymbeline 10,4,brown-double
CRN258,[#1] XIII [#2] Guiderus [#3] 13,XIII Guiderius 13,3,brown-double
CRN259,[#1] Arviragus [#2] 11,Arviragus 11,2,brown-double
CRN260,[#1] XXIX [#2] Marius [#3] 29,XXIX Marius 29,3,N/A
CRN261,[#1] XL [#2] Choylus [#3] 40,XL Coilus 40,3,N/A
CRN262,[#1] LXVII [#2] Lucius [#3] rex [#4] 67,LXVII King Lucius 67,4,grey-double
CRN263,[#1] Severus [#2] romanus,Severus the Roman,2,"inner red, outer brown"
CRN264,[#1] XII [#2] Basianus [#3] 12,XII Bassianus 12,3,grey-double
CRN265,[#1] Gethas,Geta,1,grey-double
CRN266,[#1] VII [#2] Carautius [#3] 7,VII Carausius 7,3,grey-double
CRN267,[#1] III [#2] Allectus [#3] romanus [#4] 3,III Allectus the Roman 3,4,grey-double
CRN268,[#1] X [#2] Asclepio- [#2] dotus [#3] 10,X Asclepiodotus 10,4,grey-double
CRN269,[#1] XXX [#2] Choyll [#3] 30,XXX Coel 30,3,brown-double
CRN270,[#1] XI [#2] Constantius [#3] romanus [#4] 11,XI Constantius the Roman 11,4,brown-double
CRN271,[#1] XXX [#2] Constan- [#3] tinus [#4] magnu [#5]  30,XXX Constantine the Great 30,5,brown-double
CRN272,[#1] LV [#2] Octonius [#3] 55,LV Octavius 55,3,N/A
CRN273,[#1] V [#2] Maximia- [#3] nus mag- [#4] nus [#5] 5,V Maximian the Great 5,5,brown-double
CRN274,[#1] Gratianus [#2] romanus [#2] 7,Gratianus the Roman 7,3,brown-double
CRN275,[#1] X [#2] Constantinus [#3] 10,X Constantine 10,#2-3,brown-double
CRN276,[#1] Constans [#2] 7,Constans 7,2,brown-double
CRN277,[#1] Utherpen- [#2] dragon,Uther Pendragon,2,brown-double
CRN278,[#1] XXIII [#2] Vortigerus [#3] 23,XXIII Vortigern 23,3,brown-double
CRN279,[#1] Vortimerus [#2] 6,Vortimer 6,3,brown-double
CRN280,[#1] XVII [#2] Aurelius [#3] Ambrosius [#4] 17,XVII Aurelius Ambrosius 17,4,brown-double
CRN281,[#1] Utherpen- [#2] dragon [#3] frater,"Uther Pendragon, his brother",3,brown-double
CRN282,[#1] XXIX [#2] Arthurus [#3] 29,XXIX Arthur 29,3,brown-double
CRN283,[#1] Constantinus [#2] tertius [#3] 4,Constantine III 4,3,brown-double
CRN284,[#1] Conanus [#2] 3,Conan 3,2,brown-double
CRN285,[#1] Vortipo- [#2] rius [#3] 4,Vortipor 4,3,brown-double
CRN286,[#1] Maylgo [#2] 5,Malgo 5,2,brown-double
CRN287,[#1] Careticus,Caretic,1,brown-double
CRN288,[#1] XXXI [#2] Hengistus [#3] 31,XXXI Hengist 31,3,brown-double
CRN289,[#1] XXIIII [#2] Eswi et [#3] Ostha [#4] 24,XXIIII Eswi and Ostha 24,4,brown-double
CRN290,[#1] Otra,Otra,1,brown-double
CRN291,[#1] LVI [#2] Edelbrith [#3] 56,LVI Ã†thelbert 56,3,brown-double
CRN292,[#1] XXIIII [#2] Edelbal- [#3] dus [#4] 24,XXIIII Ã†thelbald 24,4,brown-double
CRN293,[#1] XXVI [#2] Artenbru- [#3] thus [#4] 26,XXVI Artenbruth 26,4,brown-double
CRN294,[#1] Egbrichtus,Egbricht,1,brown-double
CRN295,[#1] Ermericus,Ermeric,1,brown-double
CRN296,[#1] Lotharius [#2] bonus [#3] 13,Lotharius the Good 13,3,brown-double
CRN297,[#1] Eadric [#2] 1,Eadric 1,2,brown-double
CRN298,[#1] Erthenbert,Erthenbert,1,brown-double
CRN299,[#1] Widredus [#2] et Wibert [#3] 6,Widred and Wibert 6,3,brown-double
CRN300,[#1] XXXIII [#2] Switrec [#3] 33,XXXIII Switrec 33,3,brown-double
CRN301,[#1] XXII Ã· Ã·  [#2] Eadbrit [#3] 22,XXII Â½ Eadbrit 22,3,brown-double
CRN302,[#1] XII [#2] Adelbrith [#3] 12,XII Ã†thelbrith 12,3,brown-double
CRN303,[#1] XXXIIII [#2] Egfred [#3] 34,XXXIIII Egfred 34,3,brown-double
CRN304,[#1] Eadbrich- [#2] pren [#3] 3,Eadbrith Pren 3,3,brown-double
CRN305,[#1] Cudred [#2] 9,Cudred 9,2,brown-double
CRN306,[#1] XVIII [#2] Elred [#3] 18,XVIII Elred 18,3,brown-double
CRN307,[#1] Uffa et [#2] Ulfa,UffaÂ andÂ Ulfa,2,brown-double
CRN308,[#1] Titulus,Titulus,1,brown-double
CRN309,[#1] Redwal- [#2] dus,RÃ¦dwald,2,brown-double
CRN310,[#1] Eadwall [#2] qui conversus per [#3] felicem [#4] episcopum,Eadwall who was converted through the happy bishop,4,brown-double
CRN311,[#1] Warpwal- [#2] de,Warpwalde,2,brown-double
CRN312,[#1] Sigebertus [#2] frater monachus [#3] sanctus est,Sigebert's brother is a blessed monk,3,brown-double
CRN313,[#1] Egritus,Ecgric,1,brown-double
CRN314,[#1] Anna fratus [#2] eni,Anna his brother,2,brown-double
CRN315,[#1] Adelher,Ã†thelhere,1,brown-double
CRN316,[#1] Adelbold,Ã†thelbold,1,brown-double
CRN317,[#1] Ardulfus,Ardulf,1,brown-double
CRN319,[#1] XII [#2] Ida [#3] 12,XII Ida 12,3,brown-double
CRN320,[#1] XXX [#2] Ella [#3] filius Uffe [#4] 30,XXX Ã†lla son of Uffe 30,4,brown-double
CRN321,[#1] Alderic,Ã†thelric,1,brown-double
CRN322,[#1] Edelfrid [#2] 5,Ã†helfrith 5,2,brown-double
CRN323,[#1] Edwinus,Edwin,1,brown-double
CRN324,[#1] Oswaldus [#2] 9,Oswald 9,1,brown-double
CRN325,[#1] XX [#2] Oswy frater [#2] 20,XX Oswy his brother 20,3,brown-double
CRN326,[#1] XV [#2] Egfred [#3] 15,XV Egfred 15,3,brown-double
CRN327,[#1] XX [#2] Alfridus [#3] frater 20,XX Alfred his brother 20,3,brown-double
CRN328,[#1] XI [#2] Offredus [#3] 11,XI Offred 11,3,brown-double
CRN329,[#1] Kenred [#2] 2,Kenred 2,2,brown-double
CRN330,[#1] XI [#2] Osrich [#3] 11,XI Osric 11,3,brown-double
CRN331,[#1] Ceolwulf [#2] frater 8 annis et [#3] postea monach- [#4] us,Ceolwulf his brother [reigned] 8 years and was later a monk,4,brown-double
CRN332,[#1] Eadbertus [#2] 21 annis et postea [#3] mona- [#4] chus,Eadbert [reigned] 21 years and was later a monk,4,brown-double
CRN333,[#1] Oswolf,Oswulf,1,brown-double
CRN334,[#1] Mal [#2] Edelwold [#3] 6,Ã†thelwald Moll 6,3,brown-double
CRN335,[#1] Alredus [#2] 8,Alred 8,2,brown-double
CRN336,[#1] Edelred [#2] frater mal [#3] 3,Ã†thelred brother of Moll 3,3,brown-double
CRN337,[#1] X [#2] Alfwold [#3] 10,X Ã†lfwald 10,3,brown-double
CRN338,[#1] Efred [#2] 1,Ã†fred 1,2,brown-double
CRN339,[#1] Ardulf [#2] 9,Ardulf 9,2,brown-double
CRN340,[#1] XVIII [#2] Elred [#3] 18,XVIII Ã†lred 18,2,brown-double
CRN341,[#1] Erthe- [#2] wyne,Erthewyne,2,brown-double
CRN342,[#1] Sled,Sled,1,brown-double
CRN343,[#1] Sibert,Sibert,1,brown-double
CRN344,[#1] Sigebertus,Sigebert,1,brown-double
CRN346,[#1] Wythelinus,Wythelin,1,brown-double
CRN347,[#1] Selby [#2] quem occidit [#3] penda,Selby who was killed by Penda,3,brown-double
CRN348,[#1] Sigardus,Sigard,1,brown-double
CRN349,[#1] Sigbertus,Sigbert,1,brown-double
CRN345,[#1] Sibertus,Sibert,1,brown-double
CRN350,[#1] Sibertus,Sibert,1,brown-double
CRN351,[#1] Switeli- [#2] nus,Switelin,2,brown-double
CRN352,[#1] Sigher,Sigher,1,brown-double
CRN353,[#1] Selby,Selby,1,brown-double
CRN354,[#1] Kewynus,Kewyn,1,brown-double
CRN355,[#1] Serdic [#2] 7,Cerdic 7,2,brown-double
CRN356,[#1] Kynrik,Cynric,1,brown-double
CRN357,[#1] Chelyng,Ceawlin,1,brown-double
CRN358,[#1] XLI [#2] Cheldric [#3] 41,XLI Celdric 41,3,brown-double
CRN359,[#1] XIIII [#2] Cheol- [#3] wolf [#4] 14,XIIII Ceolwulf 14,4,brown-double
CRN360,[#1] XXXI [#2] Kyngils [#3] xanus [#4] 31,XXXI Cynegisl the Christian 31,4,brown-double
CRN361,[#1] XXXI [#2] Chen- [#3] walt quem [#4] occidit penda [#5] 31,XXXI Cenwealh who was killed by Penda 31,5,brown-double
CRN362,[#1] Escwine [#2] 2,Ã†scwine 2,2,brown-double
CRN363,[#1] Kenwyn [#2] 9,Centwine 9,2,brown-double
CRN364,[#1] Cedwalla [#2] 2,CÃ¦dwalla 2,2,brown-double
CRN365,[#1] XXXVII [#2] Ine [#3] 37,XXXVII Ine 37,3,brown-double
CRN366,[#1] Athelardus [#2] 9,Ã†thelheard 9,2,brown-double
CRN367,[#1] XXVI [#2] Cudredus [#3] 26,XXVI Cuthred 26,3,brown-double
CRN368,[#1] Sigebius [#2] 1,Sigebert 1,2,brown-double
CRN369,[#1] XXXVI [#2] Wynwolf [#3] 36,XXXVI Cynewulf 36,3,brown-double
CRN370,[#1] XVI [#2] Britrith [#2] 16,XVI Beorhtric 16,3,brown-double
CRN371,[#1] Crida,Crida,1,brown-double
CRN372,[#1] Wirpa,Wirpa,1,brown-double
CRN373,[#1] Cheorlus,Cearl,2,brown-double
CRN374,[#1] Penda,Penda,1,brown-double
CRN375,[#1] Penda,Penda,1,brown-double
CRN376,[#1] XIX [#2] Edelred [#3] 19 postea mona- [#4] chus,XIX Ã†thelred [reigned] 19 years and was later a monk,4,brown-double
CRN377,[#1] Kenred 5 [#2] postea monachus,Coenred [reigned] 5 years and was later a monk,2,brown-double
CRN378,[#1] Ceolred [#2] 8,Ceolred 8,2,brown-double
CRN379,[#1] XLI [#2] Adelbold [#3] 41,XLI Ã†thelbald 41,3,brown-double
CRN380,[#1] Beornr- [#2] ed [#3] 1,Beornred 1,3,brown-double
CRN381,[#1] XXXIX [#2] Offa [#3] 39,XXXIX Offa 39,3,brown-double
CRN382,[#1] Egfred [#2] 1,Ecgfrith 1,2,brown-double
CRN383,[#1] Kenwolf [#2] 26,Coenwulf 26,2,brown-double
CRN384,[#1] Cealwolf [#2] 8,Ceolwulf 8,2,brown-double
CRN385,[#1] Beornwulf [#2] 1,Beornwulf 1,2,brown-double
CRN386,[#1] Ludecen [#2] 1,Ludeca 1,2,brown-double
